,Rank,Driver,Avg_Abs_Correlation,Pearson_Avg,Spearman_Avg,N_Windows
2,1,FF_ATM,0.08266973978298739,0.0873617732135473,0.07797770635242748,5
1,2,BQI_ABS,0.06790040581924191,0.043772937962549864,0.09202787367593394,5
4,3,theta_total,0.05877993592823289,0.04169888989894495,0.07586098195752083,5
5,4,FF_BAT,0.051823640727841104,0.037056777408101926,0.06659050404758028,5
0,5,LABEL_GENERAL_SCORE,0.048720485818423725,0.04889747716191695,0.048543494474930504,5
3,6,delta_total,0.029248700412772177,0.027224305703078273,0.03127309512246608,5
