,PnL_fwd_pts_01_mediana,PnL_fwd_pts_05_mediana,PnL_fwd_pts_25_mediana,PnL_fwd_pts_50_mediana,PnL_fwd_pts_90_mediana
LABEL_GENERAL_SCORE,0.3711920275956013,0.2402191577150775,0.11213885455447663,0.0014561292108293711,5.999534362435707e-08
BQI_ABS,0.006911863723112503,0.2603599483976224,1.0037203501037414e-07,5.549157321331602e-08,1.9663109674089945e-18
FF_ATM,5.216167561521321e-06,2.414135494361553e-08,0.005731442799438089,3.899734700503227e-06,0.02006769661120174
delta_total,0.14971939574539858,0.01605899716696183,0.3056534673985524,0.005999851324711795,0.7409375323092479
theta_total,0.0017640559725445278,0.009775071592981258,1.1416399488169074e-05,0.0010086646420383934,4.991203480178266e-09
FF_BAT,0.12491120853333215,0.07174176995736559,0.027543844118992016,1.5798952802016531e-09,1.098162998268895e-05
