,PnL_fwd_pts_01_mediana,PnL_fwd_pts_05_mediana,PnL_fwd_pts_25_mediana,PnL_fwd_pts_50_mediana,PnL_fwd_pts_90_mediana
LABEL_GENERAL_SCORE,0.00877973924244527,0.03543382474577877,0.025814579571445312,0.06008268408555047,0.11437655816436493
BQI_ABS,0.02841017266848696,-0.02661992300695379,0.04121813936108524,0.06574078022100457,0.056875674555218754
FF_ATM,0.1151074871653709,0.09565445250590081,0.06602759084146503,0.10776535609461535,0.05225397946038442
delta_total,-0.0015286281533620108,0.013432163822210809,0.0076734603023870165,0.08281702463338261,0.030670251604048897
theta_total,0.03722279266019221,-0.03362863346114674,0.03499668592005174,0.0163796396247372,0.08626669782859686
FF_BAT,0.039412488182943815,0.04484862424677741,0.03165459362341839,0.045388847087829746,0.023979333899540278
