,PnL_fwd_pts_01_mediana,PnL_fwd_pts_05_mediana,PnL_fwd_pts_25_mediana,PnL_fwd_pts_50_mediana,PnL_fwd_pts_90_mediana
LABEL_GENERAL_SCORE,0.01752440496148392,0.02304066966336022,0.03110963633409993,0.06282242666497499,0.10822033475073346
BQI_ABS,0.05289948243763266,0.022081597960291525,0.10403888999534364,0.1070134915992928,0.1741059063871091
FF_ATM,0.0891108051948284,0.10914559476740045,0.05407503739684652,0.09101083201289625,0.0465462623901658
delta_total,-0.02822636574887903,-0.04721274438325787,-0.020062757679323792,0.05424149845211256,0.00662210934875713
theta_total,0.06123310632288357,0.05066207676712883,0.08579857013541628,0.06488659185173301,0.1167245647104425
FF_BAT,0.03176444448407735,0.03731282394435193,0.04557653358124635,0.12548417276566518,0.09281454546256057
