,PnL_fwd_pts_01_mediana,PnL_fwd_pts_05_mediana,PnL_fwd_pts_25_mediana,PnL_fwd_pts_50_mediana,PnL_fwd_pts_90_mediana
LABEL_GENERAL_SCORE,0.654160069261422,0.07084401002105782,0.18745195024132952,0.0023329655028923807,1.0099297746808292e-08
BQI_ABS,0.14708428015491365,0.17479938719629273,0.035270322906242435,0.0008638625425668022,0.004485746658549447
FF_ATM,3.794785538117242e-09,1.0274795726357458e-06,0.0007391003657264731,4.4713803107541665e-08,0.009039397928380549
delta_total,0.9378300102387134,0.49358994080233637,0.6952312721301394,2.6749577970766395e-05,0.12562836216679374
theta_total,0.05744192043551861,0.08645696225635802,0.07389474281519713,0.40698462985038625,1.5967107830622217e-05
FF_BAT,0.05688363290721892,0.030405001441872623,0.12597828062403466,0.02957295063845363,0.2569296092354077
