,count,mean,std,min,25%,50%,75%,max
LABEL_GENERAL_SCORE,2609,0.023763894212341895,0.5296360185439845,-1.875,-0.3125,0.0,0.375,2.75
BQI_ABS,2609,34.389720139267915,176.6531204231384,0.47806266,0.9195014,1.2313725,1.8469836,1009.5
FF_ATM,2609,0.13973560942889995,0.1484205521219938,-0.130165,0.049559,0.110405,0.193984,1.98547
delta_total,2609,0.07497354848600997,0.02577595233410603,0.000247,0.058387,0.084696,0.094816,0.129747
theta_total,2609,-0.14718655231889613,0.17165232091809948,-0.677678,-0.256758,-0.164112,-0.060912,0.863759
FF_BAT,2338,0.9666252151411462,1.9523193170309858,0.0914,0.41342375,0.5956525,0.91211575,42.13469
