,Percentil,Umbral,N_Operaciones,Retencion_%,Variable_PnL,PnL_Medio,Desv_Std_PnL,Limite_Inferior,Limite_Superior
0,75,0.193984,653,25.028746646224608,PnL_fwd_pts_01_mediana,1.1202526799387444,4.907300227879452,-3.787047547940708,6.027552907818197
1,75,0.193984,653,25.028746646224608,PnL_fwd_pts_05_mediana,2.631699846860643,10.744158336684993,-8.11245848982435,13.375858183545636
2,75,0.193984,653,25.028746646224608,PnL_fwd_pts_25_mediana,6.98583460949464,19.996570038807384,-13.010735429312744,26.982404648302023
3,75,0.193984,653,25.028746646224608,PnL_fwd_pts_50_mediana,18.794551777434314,28.045747027789673,-9.251195250355359,46.84029880522399
4,75,0.193984,653,25.028746646224608,PnL_fwd_pts_90_mediana,23.28815891472868,45.127510780916914,-21.839351866188235,68.41566969564559
5,85,0.2531119999999997,392,15.024913760061326,PnL_fwd_pts_01_mediana,1.5834821428571428,5.140243202789487,-3.5567610599323443,6.72372534564663
6,85,0.2531119999999997,392,15.024913760061326,PnL_fwd_pts_05_mediana,3.715051020408163,12.130475265892034,-8.415424245483871,15.845526286300197
7,85,0.2531119999999997,392,15.024913760061326,PnL_fwd_pts_25_mediana,8.502168367346938,20.833748716912595,-12.331580349565657,29.335917084259535
8,85,0.2531119999999997,392,15.024913760061326,PnL_fwd_pts_50_mediana,22.200451030927834,26.328256700629392,-4.127805669701559,48.528707731557226
9,85,0.2531119999999997,392,15.024913760061326,PnL_fwd_pts_90_mediana,25.752002583979326,44.71352629939777,-18.961523715418444,70.46552888337709
10,95,0.3918736,131,5.021080873898045,PnL_fwd_pts_01_mediana,3.10706106870229,5.477248637992964,-2.3701875692906738,8.584309706695255
11,95,0.3918736,131,5.021080873898045,PnL_fwd_pts_05_mediana,4.853435114503816,13.700471203069698,-8.847036088565883,18.553906317573514
12,95,0.3918736,131,5.021080873898045,PnL_fwd_pts_25_mediana,12.445133587786259,24.165420929169432,-11.720287341383173,36.61055451695569
13,95,0.3918736,131,5.021080873898045,PnL_fwd_pts_50_mediana,26.537786259541985,26.325809828732314,0.21197643080967055,52.8635960882743
14,95,0.3918736,131,5.021080873898045,PnL_fwd_pts_90_mediana,28.12269230769231,51.07632431455876,-22.95363200686645,79.19901662225107
